,Inspector,Violations,Address
2280,Lauren Schumacher,['37'],300  HOUSTON ST E
2281,Victoria Paredes,"['31', '36', '37', '39', '41', '42', '45', '47', '47']",2230  MILITARY DR SE
2282,Cicily Martinez,[],1616  BLANCO RD
2283,MICHELLE MORENO,"['18', '21', '22']",3911  SHERRIL BROOK
2284,Daisy Zamora,['46'],5106  DAVID EDWARDS
2285,Daisy Zamora,['46'],5106  DAVID EDWARDS
2286,Daisy Zamora,['45'],5106  DAVID EDWARDS
2287,Daisy Zamora,['46'],5106  DAVID EDWARDS
2288,Daisy Zamora,[],5106  DAVID EDWARDS
2289,Daisy Zamora,['46'],5106  DAVID EDWARDS
2290,Daisy Zamora,['46'],5106  DAVID EDWARDS
2291,Daisy Zamora,"['18', '46']",5106  DAVID EDWARDS
2292,Sean Gilbert,"['21', '22', '29', '30', '34', '45', '47']",11846  BANDERA RD
2293,Bernard Capdeboscq,"['9', '10', '22', '33', '36', '37', '40', '43', '45', '45', '45']",11403  O CONNOR RD
2294,Joe Mokry,[],10500  SEA WORLD DR      #98E
2295,Amanda Cantu,"['21', '30', '32', '35', '35', '45']",135  W W WHITE RD S
2296,Deborah Liu,"['9', '24', '29', '30', '31', '35', '38', '41', '42']",9386  HUEBNER RD        #101
2297,Kacie Patrick,"['39', '46']",1011  N FM 1604 E
2298,Victoria Paredes,"['7', '9', '9', '21', '28', '31', '37', '37', '38', '39', '46']",2902  GOLIAD RD
2299,Nathan Balfour,[],6506  HAUSMAN RD W
2300,Kacie Patrick,"['7', '26']",18360  BLANCO RD         #122
2301,RYAN DAVIS,"['25', '31']",16535  HUEBNER RD        #118
2302,Deborah Liu,"['1', '6']",6387  BABCOCK RD
2303,Cicily Martinez,"['10', '20', '28', '35', '39', '41']",830  HOLLYWOOD AV W
2304,Mario Cavazos,"['2', '3', '9', '20', '21', '22', '30']",219  ZARZAMORA S
2305,John Payelle,[],16801  HUEBNER RD
2306,Valerie Suarez,"['15', '21', '22', '23', '30', '31', '31', '35', '40', '46']",5625  EVERS RD
2307,RYAN DAVIS,[],15502  HUEBNER RD        #100
2308,Rebecca Vera,"['6', '10', '15', '21', '30', '31', '36', '42']",1900  PLEASANTON RD     #3
2309,Amanda Cantu,"['30', '35', '45']",4930  RIGSBY AV
2310,Sean Gilbert,"['24', '28', '30', '32']",4101  WISEMAN BV
2311,Sean Gilbert,"['24', '30']",4101  WISEMAN BV
2312,RYAN DAVIS,[],11807  WEST AVE
2313,Juanicia Page,[],9333  LOOP 410 SW
2314,Nathan Balfour,[],11223  CEDAR PARK
2315,Sean Gilbert,"['18', '22', '30', '47']",7403  W 1604 N
2316,Joe Mokry,[],10500  SEA WORLD DR      #98E
2317,Victoria Paredes,"['2', '3']",3323  MILITARY DR SE
2318,William Hudson,[],15000  US 281 N
2319,William Emminger,[],6862  INGRAM RD
2320,Joe Mokry,[],10500  SEA WORLD DR      #98E
2321,Jacob Johanson,['35'],727  HILDEBRAND E
2322,Valerie Suarez,"['21', '22', '30', '32', '33', '34', '42', '45', '45']",5423  EVERS RD
2323,Adan Zamora,['30'],1515  GOLIAD RD
2324,William Hudson,"['10', '39', '42', '45', '47']",19179  BLANCO RD
2325,Kacie Patrick,"['36', '45', '45', '46']",1117  N FM 1604 E
