,Inspector,Violations,Address
7048,Sean Gilbert,"['24', '28']",4101  WISEMAN BV
7049,Sean Gilbert,"['24', '28']",4101  WISEMAN BV
7050,Mario Cavazos,"['2', '3', '33', '45']",126  OLD HWY 90 W
7051,John Payelle,"['18', '18']",17303  VANCE JACKSON
7052,Debra Hernandez,"['2', '42', '42', '42', '43']",118  GEN MCMULLEN N
7053,Debra Hernandez,"['2', '42', '42', '42', '43']",118  GEN MCMULLEN N
7054,Mario Cavazos,"['22', '40']",5102  COMMERCE ST W
7055,Mario Cavazos,"['2', '9', '18', '22', '29', '41', '45', '47']",1225  ZARZAMORA ST S
7056,Sean Gilbert,"['21', '22', '30', '45']",5619  W FM 1604 N
7057,Cicily Martinez,[],616  RUSSELL PL W
7058,Lauren Schumacher,"['10', '10', '18', '18', '34', '34', '37', '37', '37', '39', '39', '39', '42', '42']",521  RIVERWALK
7059,Cicily Martinez,"['37', '43']",1302  FLORES ST N
7060,Bernard Capdeboscq,"['10', '10', '19', '19', '33', '36', '37', '42']",8811  VILLAGE DR
7061,Sean Gilbert,"['22', '23', '30', '43', '45', '47']",11619  BANDERA RD
7062,John Payelle,"['19', '29', '30', '31', '31', '31', '47']",24145  IH 10 W           101
7063,Mario Cavazos,"['2', '3', '22', '31', '41', '46']",127  OLD HWY 90 W
7064,Debra Hernandez,"['2', '14', '30', '31', '37', '42']",2107  CULEBRA RD
7065,Lauren Schumacher,"['2', '10', '14', '29', '35', '36', '36', '39', '39', '39', '41', '45']",245  COMMERCE ST E     #400
7066,Sean Gilbert,"['30', '34', '45', '46']",10826  CULEBRA RD        L5
7067,Joe Mokry,[],438  W FM 1604 N
7068,Joe Mokry,"['31', '34', '45']",9638  POTRANCO RD       # 106
7069,William Emminger,"['34', '39', '45', '45', '47']",8223  STATE HWY 151
7070,Deborah Liu,"['29', '35']",5014  PRUE RD
7071,Lauren Schumacher,"['18', '18', '20', '28', '31', '34', '35', '35', '36', '36', '37', '39', '39', '39', '39', '42', '45', '45', '47']",234  RIVERWALK
7072,William Emminger,['42'],8319  STATE HWY 151
7073,Deborah Liu,[],9523  FREDSBG RD
7074,Bernard Capdeboscq,"['28', '34', '36', '42', '42', '45']",2154  AUSTIN HWY
7075,Bernard Capdeboscq,"['10', '18', '18', '21', '22', '28', '29', '30', '31', '31', '31', '32', '35', '36', '37', '38', '45']",4408  WALZEM RD
7076,MICHELLE MORENO,"['4', '7', '27', '29']",5810  BANDERA RD
7077,Bamba Njie,"['30', '31', '43']",422  PEREIDA ST
7078,Bernard Capdeboscq,"['18', '18', '21', '24', '31', '35', '36', '37', '37', '39']",9323  PERRIN BEITEL     #101
7079,Lauren Schumacher,"['2', '10', '10', '36', '36', '37', '37']",406  NAVARRO ST
7080,Bamba Njie,['43'],1036  ALAMO ST S
7081,Rebecca Vera,[],1011  VFW BV
7082,Rebecca Vera,"['10', '28', '31', '36']",1219  MILITARY DR SE
7083,Cicily Martinez,['45'],1537  SUMMIT AV W
7084,John Payelle,[],16104  UNIVERSITY OAK
7085,Sumner Bumgardner,"['31', '46', '46']",2710  ST MARYS N
7086,Bamba Njie,"['15', '31', '32', '34', '35', '35']",155  COMMERCE ST E
7087,Cicily Martinez,"['30', '39', '46']",517  WOODLAWN AV E
7088,Bernard Capdeboscq,"['10', '10', '29', '31', '36', '37', '42', '42']",10929  NACOGDOCHES RD    #1&amp;2
7089,Bernard Capdeboscq,['45'],7030  BRANCHING COURT
7090,Cicily Martinez,"['2', '18', '34', '37', '39', '39', '42', '45', '45']",2618  FREDSBG RD
7091,Sumner Bumgardner,"['30', '31', '32', '32', '46']",2726  ST MARYS N
7092,Kacie Patrick,"['30', '34', '39']",18326  TUSCANY STONE
7093,Joe Mokry,"['3', '29', '31', '31', '32', '45']",8260  MARBACH RD
7094,Erica Arreola,"['30', '42']",3701  NOGALITOS ST
7095,RYAN DAVIS,"['18', '18', '34']",14415  BLANCO RD
7096,Lauren Schumacher,"['2', '28', '39', '39', '40', '43', '45', '47']",516  HOUSTON ST E
7097,Lauren Schumacher,"['18', '18', '29', '29', '35', '36', '36', '41', '45', '45']",123  LOSOYA            #6
7098,Valerie Suarez,"['18', '29', '30', '31', '45', '46', '47', '47']",5545  LOOP 410 NW
7099,William Hudson,"['10', '21', '32', '42', '46', '47']",2250  THOUSAND OAKS     #212
7100,Bernard Capdeboscq,['33'],8244  INTERCHANGE PY
7101,Kacie Patrick,"['10', '10', '33', '37']",19160  STONE OAK PY      #104
7102,Bernard Capdeboscq,"['2', '36', '39', '45']",10447  NACOGDOCHES RD
7103,John Payelle,[],24039  OLD FREDSBG RD
7104,Erica Arreola,['27'],2401  NOGALITOS ST
7105,Cicily Martinez,[],630  WOODLAWN AV W
7106,MICHELLE MORENO,"['1', '6', '22', '31', '34']",3715  CULEBRA RD
7107,RYAN DAVIS,"['9', '10', '14', '15', '21', '22', '23', '29', '31', '35', '47', '47']",11860  WURZBACH RD
7108,Bernard Capdeboscq,"['2', '10', '22', '31', '36', '38']",8814  PERRIN BEITEL
7109,Benito Zuniga,[],10127  COACHLIGHT DR
7110,Sumner Bumgardner,"['18', '30', '45', '46']",2806  ST MARYS N
7111,Cicily Martinez,[],1621  MAIN AV N
7112,John Payelle,[],18303  IH 10 W
7113,Daisy Zamora,"['31', '31', '34', '46']",2023  SABLE LN
7114,Cicily Martinez,"['10', '30']",607  WEST AV
7115,Daisy Zamora,"['21', '30', '32', '42', '42', '43', '45', '46', '47']",4202  THOUSAND OAKS
7116,Fermin Garza,['30'],7272  CULEBRA RD
7117,Debra Hernandez,"['2', '23', '30', '31', '34', '42', '43']",2123  CULEBRA RD
7118,Daniel Guzman,"['2', '3', '45']",2805  COMMERCIAL AV
7119,John Payelle,"['10', '19']",15607  IH 10 W
7120,William Emminger,"['10', '39', '47']",7919  MARBACH RD
7121,John Payelle,"['25', '29', '29', '47']",15639  IH 10 W
7122,Amanda Cantu,"['21', '30', '45', '45']",6022  US HWY 87 E
7123,Jacob Johanson,[],3820  SAN PEDRO AV
7124,Erica Llanas,"['28', '30']",1803  EAST SONTERRA
7125,Rebecca Vera,"['43', '45', '46']",103  MILITARY DR SW
7126,Amanda Cantu,['30'],1707  W W WHITE RD S
7127,Rebecca Vera,"['2', '14', '18', '29', '31', '33', '34', '36', '37', '37', '38', '42', '43', '45']",2031  MC CAULEY DR
7128,Sean Gilbert,"['6', '18', '20', '28', '30', '33', '35', '36', '43', '45', '47']",9111  N FM 1604 W
7129,Debra Hernandez,"['2', '21', '22', '29', '30']",2719  FREDSBG RD
7130,Adan Zamora,"['27', '32', '35', '42', '43', '45']",739  HOT WELLS BV
7131,William Emminger,"['9', '18', '18', '29', '37', '39', '39', '44', '45', '45', '46', '47']",6739  NEW HWY 90 W
7132,William Emminger,"['2', '27', '31', '35', '36', '39', '39', '39', '45', '45']",7470  MILITARY DR W
7133,Sean Gilbert,['30'],5423  W FM 1604 N
7134,Rebecca Vera,"['30', '32', '42', '43', '45', '46']",183  MILITARY DR SW
7135,Valerie Suarez,"['14', '21', '22', '27', '28', '29', '30', '34', '41', '42', '46']",5834  BABCOCK RD
7136,Fermin Garza,['30'],6025  TEZEL RD
7137,Fermin Garza,['30'],8002  SAND PEBBLE
7138,Debra Hernandez,"['2', '29', '30', '42']",651  CINCINNATI AV
7139,Juanicia Page,[],6921  MILITARY DR W
7140,William Emminger,"['10', '10', '47', '47']",8223  MARBACH RD
7141,John Payelle,[],15651  IH 10 W
7142,Daniel Guzman,"['2', '37', '39', '42']",3002  COMMERCIAL AV
7143,Cicily Martinez,"['2', '9', '18', '21', '30', '39', '41']",628  JACKSON ST
7144,Adan Zamora,['42'],4319  NEW BRNFLS S
7145,Sean Gilbert,"['30', '45', '47']",10650  CULEBRA RD
7146,John Payelle,['47'],5319  CASA BELLA
7147,William Emminger,[],8219  MARBACH RD
7148,Fermin Garza,"['30', '32', '37', '42', '45']",7891  CULEBRA RD
7149,Adan Zamora,"['2', '9', '27', '32', '37']",3023  PRESA ST S
7150,Amanda Cantu,"['21', '22', '30', '31', '35', '46']",4535  RIGSBY
7151,Jacob Johanson,"['21', '35', '39']",1533  AUSTIN HWY        #109
7152,Debra Hernandez,"['2', '30']",3031  WOODLAWN W
7153,Fermin Garza,"['30', '42', '45']",8733  GRISSOM RD
7154,Cicily Martinez,"['20', '20', '31', '37']",2200  SAN PEDRO AV
7155,RYAN DAVIS,"['10', '10', '31', '31']",8523  BLANCO RD
7156,Sean Gilbert,['30'],9502  AMELIA PASS
7157,Bernard Capdeboscq,"['2', '10', '21', '32', '34', '34', '36', '42']",3033  MACARTHUR VIEW
7158,Debra Hernandez,"['2', '30']",2017  ZARZAMORA ST N
7159,William Emminger,[],8221  MARBACH RD
7160,Sumner Bumgardner,"['21', '30']",110  MC CULLOUGH AV
7161,Bernard Capdeboscq,['30'],802  LOOP 410 NE
7162,William Emminger,"['39', '42', '42', '47', '47']",1615  LOOP 410 SW
7163,Debra Hernandez,['2'],2018  CULEBRA RD
7164,Sumner Bumgardner,"['31', '32', '47']",531  ELM ST
7165,Mario Cavazos,"['2', '3', '9', '9', '22', '23', '31', '33', '41', '43', '45', '47']",1821  COMMERCE ST W
7166,Erica Llanas,[],1901  ENCINO RIO
7167,Sean Gilbert,"['2', '27', '30', '32']",11654  BANDERA RD
7168,Adan Zamora,[],5819  PECAN VALLEY D
7169,Sean Gilbert,['30'],9536  AMELIA PASS
7170,Debra Hernandez,"['2', '27', '30', '42']",2100  CULEBRA RD
7171,Jacob Johanson,"['2', '9', '25', '34', '39', '39', '39', '42', '43', '45', '45', '45']",4108  BROADWAY
7172,Jeffrey Carrizales,['2'],3636  MEDICAL DR
7173,Adan Zamora,"['31', '32', '36', '37', '42', '45', '47']",2107  GOLIAD RD
7174,Debra Hernandez,"['10', '37']",1502  BANDERA RD
7175,Sumner Bumgardner,"['21', '27', '27', '28', '30', '32', '32', '34', '39', '41', '42', '45', '45']",918  MAIN AV N
7176,Mario Cavazos,"['2', '29', '31', '33']",1601  GUADALUPE ST
7177,Adan Zamora,['37'],1331  FAIR AVE
7178,Jacob Johanson,"['19', '22', '46']",1230  AUSTIN HWY        #100
7179,Jeffrey Carrizales,"['2', '7', '8', '19', '19', '19', '19', '19', '30']",3935  MEDICAL DR
7180,Mario Cavazos,"['2', '29', '29', '46']",1333  BUENA VISTA ST
7181,Mario Cavazos,"['2', '29', '29', '46']",1333  BUENA VISTA ST
7182,Debra Hernandez,['2'],455  SUNSHINE DR E
7183,William Emminger,[],8213  MARBACH RD
7184,Fermin Garza,"['30', '32', '42', '43', '45']",10410  CULEBRA RD
7185,Bernard Capdeboscq,"['10', '18', '35', '36', '38', '42', '42', '42', '42']",8234  BROADWAY
7186,Sean Gilbert,"['2', '10', '19', '30', '32', '34', '37', '40', '43', '45', '47']",9910  W FM 1604 N
7187,Sean Gilbert,"['10', '28', '29', '30', '32', '35', '37', '41', '42', '43', '44', '45', '45', '47']",9840  W FM 1604 N
7188,William Emminger,"['10', '39', '41', '42', '45']",7140  LOOP 410 NW
7189,Sumner Bumgardner,"['10', '21', '28', '29', '30']",219  HOUSTON ST E      #275
7190,Mario Cavazos,['2'],411  24TH ST SW
7191,Mario Cavazos,"['29', '41']",1422  COMMERCE ST W
7192,Mario Cavazos,"['2', '33']",411  24TH ST SW
7193,Bernard Capdeboscq,"['22', '23', '30', '39', '43']",8722  PERRIN BEITEL
7194,Amanda Cantu,['30'],1118  W W WHITE RD S
7195,William Emminger,"['10', '34', '35', '42', '45', '45', '46']",6859  HWY 90 W
7196,Kacie Patrick,"['28', '33', '34', '36', '39', '39', '42', '45', '47']",819  N 1604 E
7197,Kacie Patrick,[],700  EAST SONTERRA
7198,RYAN DAVIS,[],14395  BLANCO RD
7199,Mario Cavazos,"['2', '9', '18', '34']",903  ZARZAMORA S
7200,RYAN DAVIS,"['9', '9', '45']",14355  BLANCO RD
7201,Mario Cavazos,"['2', '22', '33', '41', '45', '46']",1901  COMMERCE ST W
7202,Jeffrey Carrizales,"['2', '30']",5100  FREDSBG RD
7203,Joe Mokry,[],11210  POTRANCO RD
7204,Sean Gilbert,['30'],6711  LESLIE RD
7205,John Payelle,['19'],15715  IH 10 W
7206,Debra Hernandez,"['2', '10', '19', '30', '39']",604  24TH ST NW
7207,Sumner Bumgardner,"['10', '30', '38']",718  LEXINGTON AV
7208,Joe Mokry,[],11238  POTRANCO RD
7209,Daniel Guzman,"['2', '3', '10', '45']",1616  MILITARY DR SW
7210,William Emminger,"['18', '31', '31', '31', '36', '37', '37']",7427  NW Loop 410
7211,Sean Gilbert,['30'],8107  W FM 1604 N       #102
7212,Joe Mokry,[],11210  POTRANCO RD
7213,Joe Mokry,[],8214  MARBACH RD
7214,Sean Gilbert,"['27', '30', '31', '32', '34', '35', '45', '47']",11851  BANDERA RD        #112
7215,Jeffrey Carrizales,"['14', '15', '27', '29', '35', '35', '47']",9218  WURZBACH RD
7216,Jacob Johanson,"['10', '34', '35', '39']",3203  HARRY WURZBACH
7217,John Payelle,"['9', '19', '37', '42']",5250  DE ZAVALA RD
7218,John Payelle,"['10', '10']",17503  IH 10 W
7219,William Hudson,"['42', '42']",1205  N FM 1604 W       #230
7220,Jacob Johanson,"['47', '47']",3255  HARRY WURZBACH
7221,Erica Llanas,"['30', '35', '39']",20302  BULVERDE RD
7222,Monica Caballero,[],5215  COMMERCE ST W
7223,Monica Caballero,"['30', '47']",2315  36TH ST SW
7224,Debra Hernandez,"['2', '32', '35']",603  ZARZAMORA ST N
7225,Monica Caballero,"['2', '30', '42', '43', '45', '47']",1214  OLD HWY 90 W      102
7226,Fermin Garza,"['30', '42', '45']",8035  CULEBRA RD
7227,William Hudson,"['33', '45']",16602  US 281 N
7228,Monica Caballero,[],207  CHAVANEAUX W
7229,Joe Mokry,[],10950  STATE HWY 151
7230,Joe Mokry,['45'],1744  HORAL
7231,John Payelle,['19'],17631  LA CANTERA PKW
7232,Monica Caballero,[],5215  COMMERCE ST W
7233,Kacie Patrick,"['18', '21', '22', '23', '28', '31', '32', '33', '35', '36', '37', '38', '39', '39', '45']",20122  STONE OAK PKWY
7234,Joe Mokry,[],1730  HORAL DR
7235,Kacie Patrick,[],18514  SONTERRA PLACE
7236,Joe Mokry,[],10919  TOWN CENTER
7237,John Payelle,"['28', '47']",5123  N FM 1604 W       #111
7238,Debra Hernandez,"['2', '32']",1933  FREDSBG RD        #101
7239,Mario Cavazos,"['2', '33']",1746  POPLAR ST W
7240,Mario Cavazos,"['2', '3', '29', '31']",3016  COMMERCE ST W
7241,Jacob Johanson,"['10', '25', '33', '45']",1  TOWERS PARK LN
7242,Mario Cavazos,"['19', '21', '22', '30']",1049  RIVAS ST
7243,William Hudson,['45'],18303  BLANCO RD
7244,Joe Mokry,['32'],10910  TOWN CENTER DR
7245,William Hudson,[],2235  THOUSAND OAKS
7246,Joe Mokry,[],9222  POTRANCO RD
7247,Monica Caballero,"['19', '30', '31', '45', '47']",1435  FRIO CITY RD
7248,Juanicia Page,"['37', '39', '41', '42', '45']",951  NEW LAREDO HWY
7249,Bernard Capdeboscq,[],5456  WALZEM RD
7250,Juanicia Page,[],737  NEW LAREDO HWY
7251,Cicily Martinez,[],606  CYPRESS ST W
7252,Fermin Garza,[],8333  CULEBRA RD        #203
7253,Sumner Bumgardner,"['21', '31', '41']",705  HOUSTON ST E
7254,MICHELLE MORENO,"['18', '34']",1331  BANDERA RD        H-10
7255,Sumner Bumgardner,"['21', '30', '46']",207  BROADWAY
7256,Adan Zamora,"['10', '28', '32', '34', '37', '45', '47']",1012  AVONDALE AVE
7257,Joe Mokry,[],9903  NATIONWIDE DR
7258,Bernard Capdeboscq,[],603  CORINNE
7259,Sumner Bumgardner,"['21', '28', '30']",2332  ST MARYS N        C
7260,Joe Mokry,['30'],8842  POTRANCO RD
7261,Sumner Bumgardner,"['28', '34']",152  PECAN ST E
7262,Monica Caballero,"['30', '45']",2101  QUINTANA RD
7263,Sumner Bumgardner,['21'],209  BROADWAY
7264,Cicily Martinez,"['22', '30', '45']",801  SAN PEDRO AV
7265,Bernard Capdeboscq,[],4838  RITTIMAN RD
7266,Adan Zamora,"['10', '43']",1955  DOLLARHIDE AVE
7267,Monica Caballero,"['30', '34', '47']",1168  CUPPLES RD
7268,Erica Llanas,"['34', '42']",2339  EVANS RD E        #103
7269,William Hudson,[],19110  HUEBNER RD
7270,Joe Mokry,['35'],9222  POTRANCO RD
7271,Fermin Garza,['30'],8756  GRISSOM RD
7272,William Emminger,[],1255  LOOP 410 SW       #117
7273,John Payelle,[],19327  TALAVERA RIDGE
7274,Sean Gilbert,"['30', '39', '42', '45', '47']",11846  BANDERA RD
7275,John Payelle,"['21', '47', '47', '47']",13535  IH 10 W
7276,Jeffrey Carrizales,"['2', '3', '31', '31', '35', '35', '39', '39']",9202  WURZBACH RD
7277,William Hudson,[],13303  JONES MALTSBRG
7278,Monica Caballero,"['30', '45', '45']",2417  CASTROVILLE RD
7279,William Emminger,"['35', '35', '39']",131  LOOP 410 SW
7280,Monica Caballero,"['30', '34']",1850  GEN MCMULLEN S
7281,Monica Caballero,"['30', '47']",1302  CASTROVILLE RD
7282,RYAN DAVIS,[],11623  WEST AV
7283,Kassandra Aguilar,"['10', '18', '33', '34', '35', '47']",1171  AT&amp;T CENTER PY    #3
7284,William Hudson,[],2400  THOUSAND OAKS
7285,Erica Llanas,"['2', '3', '18', '28', '30']",21902  FRANKLIN PARK
7286,Erica Llanas,['30'],21802  ENCINO COMMONS
7287,Jeffrey Carrizales,"['1', '2', '3', '10', '10', '10', '14', '14', '15', '19', '21', '27', '33', '35', '36', '47']",9911  IH 10 W
7288,William Emminger,"['10', '32', '34', '37', '39', '45', '45', '45']",1331  LOOP 410 SW
7289,William Emminger,"['10', '31', '34', '34', '37', '39', '42', '44', '45', '46']",6405  LOOP 410 NW
7290,Bernard Capdeboscq,"['2', '45', '45']",2235  LOOP 410 NE
7291,Jeffrey Carrizales,"['2', '3', '10', '10', '19']",9933  IH 10 W
7292,Bernard Capdeboscq,"['2', '2', '30', '36', '39', '42', '42']",2630  LOOP 410 NE
7293,Bamba Njie,"['31', '35', '47']",126  MAIN PLAZA
7294,Bernard Capdeboscq,"['2', '10', '10', '19', '21', '31', '36', '37', '39', '42']",2447  NACOGDOCHES RD
7295,Monica Caballero,"['24', '30', '34', '34', '45', '45', '45', '45']",627  CUPPLES RD
7296,RYAN DAVIS,['27'],2387  NW MILITARY HY
7297,William Hudson,"['42', '45']",16666  US 281 N
7298,John Payelle,[],17603  IH 10 W
7299,John Payelle,[],17603  IH 10 W
7300,Fermin Garza,['47'],8349  CULEBRA RD
7301,Sean Gilbert,"['18', '22', '23', '30', '31', '31', '32', '43', '46', '47']",11715  BANDERA RD
7302,Jacob Johanson,['21'],1446  AUSTIN HWY
7303,Kacie Patrick,[],1439  EAST SONTERRA
7304,Jeffrey Carrizales,"['1', '1', '1', '1', '2', '19', '19', '19', '20', '20', '20', '23', '23', '23', '23', '27', '29', '45', '45', '45', '45']",10131  WURZBACH RD
7305,Erica Llanas,"['30', '31']",21918  US HWY 281 N
7306,Cicily Martinez,[],310  SAN PEDRO AVE
7307,Sean Gilbert,"['30', '47']",11411  BANDERA RD        #107
7308,RYAN DAVIS,[],11423  WEST AV
7309,William Emminger,"['35', '43']",8311  STATE HWY 151
7310,William Hudson,"['10', '45', '47']",2314  THOUSAND OAKS
7311,Kassandra Aguilar,"['21', '31', '43']",722  SEGUIN ST
7312,Kacie Patrick,"['34', '37', '47']",19231  STONE OAK PKWY
7313,Jacob Johanson,"['9', '18', '22', '45']",1264  AUSTIN HWY
7314,Bernard Capdeboscq,"['26', '26', '45', '45']",2463  NACOGDOCHES RD
7315,Bamba Njie,"['21', '22', '30', '37']",136  MAIN PLAZA
7316,Jeffrey Carrizales,"['2', '21', '21', '30', '35', '35']",9871  IH 10 W
7317,Kacie Patrick,[],18803  HARDY OAK BLVD
7318,Jacob Johanson,"['10', '18']",1146  AUSTIN HWY
7319,John Payelle,"['14', '31', '31']",17627  LA CANTERA PKW
7320,Bernard Capdeboscq,"['30', '47']",2383  LOOP 410 NE       #34
7321,Monica Caballero,"['24', '30', '45']",5610  OLD HWY 90 W
7322,Jeffrey Carrizales,"['2', '2', '3', '10', '10', '10', '27', '27', '29', '29', '31', '35']",9921  IH 10 W
7323,Kassandra Aguilar,"['2', '10', '21', '30']",742  SEGUIN ST
7324,Bernard Capdeboscq,"['28', '32', '36', '45', '45']",8800  BROADWAY          108
7325,William Hudson,"['10', '47']",2899  THOUSAND OAKS
7326,RYAN DAVIS,[],2313  NW MILITARY HY
7327,Amanda Cantu,"['21', '30']",602  GEMBLER RD
7328,Debra Hernandez,"['2', '30']",843  WAVERLY AV
7329,Diana Garcia,[],630  LOOP 410 NW
7330,Sean Gilbert,"['30', '45']",5539  W FM 1604 N
7331,William Emminger,"['10', '18', '40', '41', '46', '47']",6950  MILITARY DR W
7332,Monica Caballero,"['30', '31']",1261  SALTILLO ST
7333,Sean Gilbert,['30'],5503  W FM 1604 N
7334,Jeffrey Carrizales,"['2', '3', '10', '18', '18', '31', '31', '34', '34', '34', '37', '37', '37', '37', '37', '37', '42']",4841  FREDSBG RD
7335,William Emminger,"['34', '35', '47']",7315  MARBACH RD
7336,Bamba Njie,[],110  PRODUCE ROW       #2
7337,Rebecca Vera,"['6', '10', '18', '18', '42', '43', '45', '47']",1126  NEW LAREDO HWY
7338,Debra Hernandez,"['27', '30', '35', '42', '42']",4645  COMMERCE ST W
7339,Debra Hernandez,"['2', '30']",5103  COMMERCE ST W
7340,Sean Gilbert,"['30', '45', '47', '47']",10455  FM 471 W
7341,Sean Gilbert,"['30', '47']",10647  CULEBRA RD
7342,Sean Gilbert,['30'],5855  ROGERS RD
7343,John Payelle,"['26', '47']",23718  IH 10 W
7344,Amanda Cantu,"['19', '21', '30', '31', '31', '32', '45', '45', '45', '46']",4039  HOUSTON ST E
7345,Jeffrey Carrizales,"['2', '3']",5242  FREDSBG RD
7346,Erica Llanas,"['18', '23', '27', '29', '30', '31', '33', '34', '39', '45']",17720  CORPORATE WDS
7347,William Emminger,"['18', '20', '36', '37', '37', '39', '39', '41']",8733  MARBACH RD        #101
7348,Bamba Njie,[],206  PRODUCE ROW
7349,Cicily Martinez,"['2', '10', '18', '18']",1906  MAIN AV N
7350,William Emminger,"['37', '37', '39', '41', '45']",7014  MARBACH RD        7014
7351,Sean Gilbert,"['30', '31', '45', '45', '47']",10670  CULEBRA RD
7352,Monica Caballero,['30'],2231  CASTROVILLE RD
7353,Mario Cavazos,"['2', '3', '33', '33']",603  24TH ST SW
7354,Kacie Patrick,[],700  EAST SONTERRA
7355,Sean Gilbert,['30'],5427  W FM 1604 N
7356,Jeffrey Carrizales,"['2', '3']",5145  FREDSBG RD
7357,Jeffrey Carrizales,"['2', '3']",5145  FREDSBG RD
7358,Jeffrey Carrizales,"['1', '2', '3', '27', '27', '29']",5137  FREDSBG RD
7359,Sumner Bumgardner,"['15', '21', '28', '30', '37', '38']",502  BROOKLYN AV
7360,Diana Garcia,"['10', '33', '45']",255  BASSE E           #310
7361,Diana Garcia,"['10', '33', '45']",255  BASSE E           #310
7362,Bernard Capdeboscq,"['29', '31', '36']",6350  IH 35 N
7363,Juanicia Page,"['18', '35', '45']",8630  HWY 90 W
7364,Sumner Bumgardner,"['28', '29', '30', '37', '46']",205  HOUSTON ST E
7365,Monica Caballero,['30'],4609  NEW HWY 90 W
7366,John Payelle,['28'],4503  DE ZAVALA RD      124
7367,Diana Garcia,"['10', '18', '28', '30', '32', '42', '45']",7959  BROADWAY          #204
7368,Diana Garcia,"['10', '28', '30', '35', '45']",999  BASSE E
7369,Debra Hernandez,"['2', '19', '30', '34', '42', '42', '42']",4723  COMMERCE ST W
7370,Mario Cavazos,"['2', '21', '29', '43']",1502  ZARZAMORA ST N
7371,RYAN DAVIS,"['9', '9', '18', '21', '32', '34', '39', '42', '42']",12403  WEST AV
7372,William Emminger,['42'],7103  MARBACH RD
7373,Jeffrey Carrizales,"['2', '3', '6', '6', '19', '19', '19', '19', '39', '45', '45']",9340  WURZBACH RD
7374,Rebecca Vera,"['2', '29', '30', '31', '32', '34', '35', '35', '36', '38', '39', '42', '43', '45', '45', '46', '47']",1115  MILITARY DR SE
7375,John Payelle,[],4503  DE ZAVALA RD      124
7376,Sean Gilbert,"['22', '30', '45', '45']",11620  BANDERA RD
7377,Debra Hernandez,"['2', '30']",2320  ZARZAMORA ST N
7378,William Hudson,[],13610  US HWY 281 N
7379,Bernard Capdeboscq,"['10', '10', '36', '37', '41', '42', '42', '42', '45']",9307  BROADWAY
7380,Diana Garcia,"['15', '18', '30', '32', '39', '42', '45']",8403  MC CULLOUGH AV
7381,Juanicia Page,[],8888  LOOP 410 SW
7382,Mario Cavazos,"['2', '23', '34', '43', '45', '46', '47']",3239  COMMERCE ST W
7383,William Emminger,"['10', '10', '10', '18', '18', '31', '31', '35', '36', '37', '37', '39', '39', '39', '40', '41', '45', '45', '47', '47', '47']",7000  MILITARY DR W
7384,Monica Caballero,"['30', '45']",131  GUTHRIE ST
7385,Jeffrey Carrizales,"['2', '3', '9', '9', '9', '10', '10', '10', '23', '23', '23', '37', '37']",9226  WURZBACH RD
7386,Erica Llanas,"['11', '22', '30', '34', '35', '42']",22810  US 281 N
7387,John Payelle,[],24165  IH 10 W
7388,William Emminger,"['34', '45']",9802  INGRAM RD
7389,Joe Mokry,[],114  ELLISON DR N
7390,Jeffrey Carrizales,"['2', '3', '10', '10', '10', '19', '19', '19', '45']",9210  WURZBACH RD
7391,John Payelle,"['21', '30', '47']",5238  DE ZAVALA RD      #128
7392,Mario Cavazos,"['2', '2', '10']",510  GEN MCMULLEN S
7393,Amanda Cantu,"['2', '21', '30', '32', '35', '35', '39']",4731  RIGSBY
7394,Erica Llanas,"['2', '18', '18', '28', '29', '30', '35', '45']",3039  TPC PKWY
7395,Mario Cavazos,"['2', '2', '9', '29', '29', '41', '43', '43', '45', '45', '46', '46', '46']",300  ZARZAMORA ST N
7396,William Emminger,[],7302  MILITARY DR W
7397,Fermin Garza,['30'],7663  GUILBEAU RD
7398,Bamba Njie,"['34', '36']",100  HOUSTON ST W
7399,Bamba Njie,['43'],114  HOUSTON ST E
7400,Sean Gilbert,['30'],5347  W FM 1604 N
7401,Debra Hernandez,['30'],2810  ASHBY PL W
7402,Mario Cavazos,"['2', '21', '22', '28', '29', '29', '34', '45']",641  RUIZ ST
7403,Sean Gilbert,"['14', '18', '22', '30', '31', '32', '37', '39', '43', '45', '45', '47']",11411  BANDERA RD        #107
7404,Joe Mokry,[],10831  POTRANCO RD
7405,Joe Mokry,"['32', '42']",8738  POTRANCO RD       #1
7406,Erica Llanas,['30'],22606  US 281 N
7407,William Emminger,"['2', '29']",7444  MILITARY DR W
7408,Juanicia Page,"['15', '18', '34', '36', '36', '39', '45']",8830  SW 410
7409,John Payelle,[],24165  IH 10 W
7410,Monica Caballero,"['29', '31', '34', '42', '43', '45']",1125  GEN MCMULLEN S
7411,Rebecca Vera,[],165  MILITARY DR SW
7412,Joe Mokry,[],9307  POTRANCO RD
7413,Debra Hernandez,[],1226  18TH ST NW
7414,Juanicia Page,[],4917  RAVENSWOOD DR
7415,Sumner Bumgardner,"['21', '27', '27', '28', '30', '31', '36']",330  GRAYSON ST E
7416,Joe Mokry,[],1739  LOOP 410 SW       #810
7417,Joe Mokry,"['21', '32']",10107  MILITARY DR W
7418,John Payelle,['19'],2002  N 1604 W
7419,Joe Mokry,"['29', '42', '46']",8831  POTRANCO RD
7420,Monica Caballero,['30'],3103  ZARZAMORA ST S
7421,Jeffrey Carrizales,"['2', '38', '42', '46', '46']",7959  FREDSBG RD
