,inspection_date,inspector,number_of_violations,violations,zip_code,house_numbers,categories,transactions,distance,review_count,longitude,latitude,name,sector,district,total_score,rating,price,establishment_x,establishment_y,address_x,address_y,trimmed_name_x,trimmed_name_y,clean_address_x,clean_address_y,address_distance,name_distance
40,2019-03-22,Diana Garcia,8,"['9', '28', '31', '35', '41', '42', '43', '45']",78209,7310,"['German', 'American (Traditional)', 'Beer Gardens']",[],3391.844624901457,344.0,-98.47954199430391,29.4975567690645,Quarry Hofbrau & Beer Garden,11,B,88,3.0,$$,quarry hofbrau & beer garden,Quarry Hofbrau & Beer Garden,7310 jones maltsbrg ,7310 jones maltsberger rd,quarry hofbrau & beer garden,quarry hofbrau  beer garden,jones maltsbrg,jones maltsberger,3,1
41,2019-09-18,Daisy Zamora,2,"['35', '42']",78247,12820,"['Korean', 'Barbeque', 'Asian Fusion']",['delivery'],8698.274672972188,557.0,-98.461972,29.558001,Gogi Street,15,B,98,4.5,$,gogi street,Gogi Street,12820 jones maltsbrg ,12820 jones maltsberger rd,gogi street,gogi street,jones maltsbrg,jones maltsberger,3,0
42,2019-03-21,Cicily Martinez,1,['31'],78212,3233,"['Coffee & Tea', 'Coffee Roasteries']",[],5303.393739412517,208.0,-98.48331,29.4548,Summer Moon Coffee Bar,35,D,100,4.5,$,summermoon coffee bar,Summer Moon Coffee Bar,3233 st marys n ,3233 n st mary's st,summermo coffee bar,summer mo coffee bar,st marys,n mary's,3,1
43,2019-03-22,Kacie Patrick,0,[],78258,18318,"['Steakhouses', 'Brazilian']",[],12976.69122549045,991.0,-98.497751,29.610238,Chama Gaucha Brazilian Steakhouse,10,B,100,4.5,$$$,chama gaucha brazilion steakhouse i,Chama Gaucha Brazilian Steakhouse,18318 sonterra place ,18318 sonterra pl,cham gauch brazili steakhouse i,cham gauch brazili steakhouse,sonterra place,sonterra pl,3,2
44,2019-03-22,Kacie Patrick,0,[],78258,700,"['Salad', 'Soup']",[],13638.296972659567,165.0,-98.4842004,29.6142434,Salata,10,B,100,4.0,$$,salata,Salata,700 east sonterra ,700 e sonterra blvd,salata,salata,eastonterra,eonterra,3,0
45,2019-10-28,RYAN DAVIS,0,[],78213,2395,"['Grocery', 'Beer, Wine & Spirits']",[],5814.17556105286,7.0,-98.52831738402529,29.5453055556078,Northwest Food Mart,9,A,100,4.5,$,northwest food mart,Northwest Food Mart,2395 nw military hy ,2395 nw military hwy,northwest food mart,northwest food mart,military hwy,nw military hwy,3,0
46,2019-06-27,Diana Garcia,5,"['2', '18', '27', '35', '45']",78216,7720,"['Steakhouses', 'Seafood', 'Lounges']",[],3457.367909299909,151.0,-98.481127,29.505747999999997,Ruth's Chris Steak House,11,B,90,3.5,$$$,ruths chris steak house,Ruth's Chris Steak House,7720 jones maltsbrg ,7720 jones maltsberger rd,ruths chris steak house,ruths chris steak house,jones maltsbrg,jones maltsberger,3,0
47,2019-09-13,Kacie Patrick,1,['31'],78258,700,"['Salad', 'Soup']",[],13638.296972659567,165.0,-98.4842004,29.6142434,Salata,10,B,98,4.0,$$,salata,Salata,700 east sonterra ,700 e sonterra blvd,salata,salata,eastonterra,eonterra,3,0
48,2019-01-31,Daniel Guzman,2,"['2', '34']",78238,5959,['Seafood'],['delivery'],9484.18162343029,141.0,-98.610202,29.47652,Sea Island Shrimp House,31,D,86,3.5,$$,sea island shrimp house #s3,Sea Island Shrimp House,5959 loop 410 nw ,5959 nw lp 410,se island shrimp house #s3,se island shrimp house,lp 410,nw lp 410,3,4
49,2019-07-30,RYAN DAVIS,0,[],78231,2313,['Mexican'],['delivery'],5337.150239342017,90.0,-98.52708677360509,29.5411504748917,Abuela's Mexican Restaurant,9,A,100,4.5,$,abuelas mexican restaurant,Abuela's Mexican Restaurant,2313 nw military hy ,2313 nw military hwy,abue mexic restaurant,abuelas mexic restaurant,military hwy,nw military hwy,3,3
50,2019-08-08,RYAN DAVIS,0,[],78230,11003,"['Burgers', 'Fast Food']",['delivery'],7055.28800377535,42.0,-98.5346992313862,29.5553810710411,Whataburger,9,A,100,3.5,$,whataburger #327,Whataburger,11003 nw military hy ,11003 nw military hwy,whataburger #327,whataburger,military hwy,nw military hwy,3,5
51,2019-08-08,RYAN DAVIS,0,[],78230,10003,"['Steakhouses', 'Desserts', 'Salad']",['delivery'],6993.652902440326,262.0,-98.536353,29.554364,Myron's Prime Steakhouse,9,A,100,4.0,$$$,myron's prime steakhouse,Myron's Prime Steakhouse,10003 nw military hy ,10003 nw military hwy,myron's prime steakhouse,myrons prime steakhouse,military hwy,nw military hwy,3,1
52,2019-08-08,Cicily Martinez,2,"['20', '42']",78201,1839,"['Fast Food', 'Chicken Wings']","['delivery', 'pickup']",3271.0554164750206,5.0,-98.52571999999999,29.46673,Church's Chicken,35,D,96,2.0,$,churchs chicken # 372,Church's Chicken,1839 hildebrand w ,1839 w hildebrand ave,churchs chicken # 372,churchs chicken,hildebrand,w hildebrande,3,6
53,2019-11-21 00:00:00,Bamba Njie,4,"['28', '42', '43', '45']",78205,323,"['Cafes', 'Tex-Mex', 'Mexican']",['delivery'],7639.758550512616,81.0,-98.4939549,29.4276775,Oasis Cafe,27,C,95,4.0,$,oasis cafe,Oasis Cafe,323 main av n ,323 n main ave,oasis cafe,oasis cafe,main,n maine,3,0
54,2019-02-12 00:00:00,Daisy Zamora,2,"['21', '30']",78247,12820,"['Korean', 'Barbeque', 'Asian Fusion']",['delivery'],8698.274672972188,557.0,-98.461972,29.558001,Gogi Street,15,B,100,4.5,$,gogi street,Gogi Street,12820 jones maltsbrg ,12820 jones maltsberger rd,gogi street,gogi street,jones maltsbrg,jones maltsberger,3,0
55,2019-11-21 00:00:00,Nathan Balfour,0,[],78256,15900,"['Poke', 'Salad', 'Sushi Bars']","['pickup', 'delivery']",14403.560666186911,62.0,-98.6123203407226,29.5920222976395,Pokeworks,3,A,100,4.5,$$,kokee tea,Pokeworks,15900 la cantera parkway ,15900 la cantera pkwy,kokee tea,pokeworks,la cantera parkway,la cantera pkwy,3,6
56,2019-11-21 00:00:00,Nathan Balfour,0,[],78256,15900,"['Poke', 'Salad', 'Sushi Bars']","['delivery', 'pickup']",14403.560666186911,62.0,-98.6123203407226,29.5920222976395,Pokeworks,3,A,100,4.5,$$,kokee tea,Pokeworks,15900 la cantera parkway ,15900 la cantera pkwy,kokee tea,pokeworks,la cantera parkway,la cantera pkwy,3,6
57,2019-11-22 00:00:00,Sumner Bumgardner,4,"['18', '21', '29', '30']",78212,1022,['Chicken Wings'],"['pickup', 'delivery']",6572.865146426379,13.0,-98.49401999999999,29.4381,The Wing Shack,19,C,95,3.5,$$,the wing shack,The Wing Shack,1022 main av n ,1022 n main ave, wing shack, wing shack,main,n maine,3,0
58,2019-08-12,RYAN DAVIS,1,['21'],78231,14510,"['Donuts', 'Coffee & Tea']",[],9513.719827581956,32.0,-98.54472453021359,29.575828920743298,Dunkin',9,A,98,2.5,$,dunkin donuts,Dunkin',14510 military hy nw ,14510 nw military hwy,dunk donuts,dunkin,military hwy,nw military hwy,3,6
59,2019-11-26 00:00:00,Daisy Zamora,0,[],78247,13800,['Bars'],[],9971.412109959969,32.0,-98.45214,29.565790000000003,Bushwood CC,15,B,100,3.5,$,bushwood bbq,Bushwood CC,13800 jones maltsbrg ,13800 jones maltsberger rd,bushwood bbq,bushwood cc,jones maltsbrg,jones maltsberger,3,3
60,2019-09-09,Kacie Patrick,2,"['33', '39']",78258,18318,"['Steakhouses', 'Brazilian']",[],12976.69122549045,991.0,-98.497751,29.610238,Chama Gaucha Brazilian Steakhouse,10,B,97,4.5,$$$,chama gaucha brazilion steakhouse i,Chama Gaucha Brazilian Steakhouse,18318 sonterra place ,18318 sonterra pl,cham gauch brazili steakhouse i,cham gauch brazili steakhouse,sonterra place,sonterra pl,3,2
