,establishment,inspection_date,sector,district,total_score,link,zip_code,address_and_zip,address,separated_address,house_numbers,trimmed_name,split_address,clean_address
9284,pizza classics,2019-09-12,19,C,96,Link,78212,"3440 st marys n san antonio, tx 782123158",3440 st marys n ,"['3440', 'st', 'marys', 'n']",3440,pizz classics,st marys n,st marys
9285,poetic republic coffee,2019-09-12,24,C,100,Link,78210,"2330 presa st s san antonio, tx 78210",2330 presa st s ,"['2330', 'presa', 'st', 's']",2330,poetic republic coffee,presa st s,presa
9286,quik trip #4006,2019-09-12,5,A,100,Link,78251,"8850 culebra rd san antonio, tx 78251",8850 culebra rd ,"['8850', 'culebra', 'rd']",8850,quik trip #4006,culebra rd,culebra
9287,ra grocery,2019-09-12,28,D,96,Link,78207,"2902 guadalupe st san antonio, tx 782075161",2902 guadalupe st ,"['2902', 'guadalupe', 'st']",2902,r grocery,guadalupe st,guadalupe
9288,raising cane's #192,2019-09-12,6,A,100,Link,78229,"8007 fredericksburg san antonio, tx 78229",8007 fredericksburg ,"['8007', 'fredericksburg']",8007,raising cane's #192,fredericksburg,fredericksburg
9289,raising cane's #312,2019-09-12,25,C,99,Link,78223,"2322 military dr se san antonio, tx 782233543",2322 military dr se ,"['2322', 'military', 'dr', 'se']",2322,raising cane's #312,military dr se,militarye
9290,raising canes,2019-09-12,13,B,100,Link,78216,"9800 airport bv san antonio, tx 782164837",9800 airport bv ,"['9800', 'airport', 'bv']",9800,raising canes,airport bv,airport
9291,restaurante don pablo,2019-09-12,23,C,96,Link,78207,"2162 laredo st s san antonio, tx 782076936",2162 laredo st s ,"['2162', 'laredo', 'st', 's']",2162,restaurante d pablo,laredo st s,laredo
9292,rudys seafood,2019-09-12,23,C,96,Link,78214,"4122 flores st s san antonio, tx 782141208",4122 flores st s ,"['4122', 'flores', 'st', 's']",4122,rudys seafood,flores st s,flores
9293,san antonio bakery,2019-09-12,32,D,93,Link,78211,"223 palo alto rd san antonio, tx 782113738",223 palo alto rd ,"['223', 'palo', 'alto', 'rd']",223,s antonio bakery,palo alto rd,palo alto
9294,saws cafe,2019-09-12,18,B,98,Link,78212,"2800 us 281 n san antonio, tx 782120",2800 us 281 n ,"['2800', 'us', '281', 'n']",2800,saws cafe,us 281 n,us 281
9295,scuzzi's italian restaurant,2019-09-12,4,A,97,Link,78255,"24165 ih 10 w san antonio, tx 782559519",24165 ih 10 w ,"['24165', 'ih', '10', 'w']",24165,scuzzi's itali restaurant,ih 10 w,ih 10
9296,sonic #3849,2019-09-12,20,C,91,Link,78208,"2135 ih 35 n san antonio, tx 782080",2135 ih 35 n ,"['2135', 'ih', '35', 'n']",2135,sonic #3849,ih 35 n,ih 35
9297,soul food bistro,2019-09-12,17,B,98,Link,78218,"5814 rittiman pz san antonio, tx 782180",5814 rittiman pz ,"['5814', 'rittiman', 'pz']",5814,soul food bistro,rittiman pz,rittiman pz
9298,south san antonio h.s (baseball),2019-09-12,36,D,96,Link,78224,"2515 navajo st san antonio, tx 782241317",2515 navajo st ,"['2515', 'navajo', 'st']",2515,south s antonio h.s (baseball),navajo st,navajo
9299,south san antonio h.s (football),2019-09-12,36,D,98,Link,78224,"2515 navajo st san antonio, tx 782241317",2515 navajo st ,"['2515', 'navajo', 'st']",2515,south s antonio h.s (football),navajo st,navajo
9300,south san antonio h.s (gym),2019-09-12,36,D,99,Link,78224,"2515 navajo st san antonio, tx 782241317",2515 navajo st ,"['2515', 'navajo', 'st']",2515,south s antonio h.s (gym),navajo st,navajo
9301,south san antonio h.s (softball),2019-09-12,36,D,100,Link,78224,"2515 navajo st san antonio, tx 782241317",2515 navajo st ,"['2515', 'navajo', 'st']",2515,south s antonio h.s (softball),navajo st,navajo
9302,stacys sportsbar,2019-09-12,8,A,96,Link,78201,"3805 blanco rd san antonio, tx 782011310",3805 blanco rd ,"['3805', 'blanco', 'rd']",3805,stacys sportsbar,blanco rd,blanco
9303,starbucks coffee #49995,2019-09-12,21,C,100,Link,78219,"3818 commerce st e san antonio, tx 78219",3818 commerce st e ,"['3818', 'commerce', 'st', 'e']",3818,starbucks coffee #49995,commerce st e,commerce
9304,starbucks coffee_#9783,2019-09-12,6,A,100,Link,78229,"4739 medical dr san antonio, tx 782290",4739 medical dr ,"['4739', 'medical', 'dr']",4739,starbucks coffee_#9783,medical dr,medical
9305,starbucks_#9674,2019-09-12,25,C,99,Link,78223,"3170 military dr se san antonio, tx 782230",3170 military dr se ,"['3170', 'military', 'dr', 'se']",3170,starbucks_#9674,military dr se,militarye
