,establishment,inspection_date,sector,district,total_score,link,zip_code,address_and_zip,address,separated_address,house_numbers,trimmed_name,split_address,clean_address
6218,circle k #2740005,2019-06-18,34,D,100,Link,2130,"703 n zarzamora st san antonio, tx 78207-2130",703 n zarzamora st ,"['703', 'n', 'zarzamora', 'st']",703,circle k #2740005,n zarzamora st,n zarzamora
6219,comfort inn and suites,2019-06-18,8,A,97,Link,78201,"6039 ih 10 w san antonio, tx 782010",6039 ih 10 w ,"['6039', 'ih', '10', 'w']",6039,comfort inn and suites,ih 10 w,ih 10
6220,comfort suites seaworld/lackland,2019-06-18,33,D,98,Link,78238,"8021 alamo downs san antonio, tx 782382041",8021 alamo downs ,"['8021', 'alamo', 'downs']",8021,comfort suites seaworld/lackland,alamo downs,alamo downs
6221,days inn motel,2019-06-18,31,D,100,Link,78238,"6010 loop 410 nw san antonio, tx 782380",6010 loop 410 nw ,"['6010', 'loop', '410', 'nw']",6010,days inn motel,loop 410 nw,loop 410w
6222,econo lodge suites,2019-06-18,4,A,100,Link,78249,"13575 ih 10 w san antonio, tx 782490",13575 ih 10 w ,"['13575', 'ih', '10', 'w']",13575,econo lodge suites,ih 10 w,ih 10
6223,el pollo loco #3775,2019-06-18,26,C,90,Link,78221,"1133 military dr sw san antonio, tx 782211534",1133 military dr sw ,"['1133', 'military', 'dr', 'sw']",1133, pollo loco #3775,military dr sw,militaryw
6224,el tropicana hotel #,2019-06-18,19,C,99,Link,78205,"110 lexington av san antonio, tx 782050",110 lexington av ,"['110', 'lexington', 'av']",110, tropican hot #,lexington av,lexington
6225,freds fish fry #,2019-06-18,31,D,97,Link,78228,"3418 culebra rd san antonio, tx 782286060",3418 culebra rd ,"['3418', 'culebra', 'rd']",3418,freds fish fry #,culebra rd,culebra
6226,griffs burger bar,2019-06-18,25,C,86,Link,78221,"2418 pleasanton rd san antonio, tx 782211503",2418 pleasanton rd ,"['2418', 'pleasanton', 'rd']",2418,griffs burger bar,pleasanton rd,pleasanton
6227,hanzo,2019-06-18,16,B,91,Link,78209,"7701 broadway san antonio, tx 782093261",7701 broadway ,"['7701', 'broadway']",7701,hanzo,broadway,broadway
6228,hotel indigo riverwalk,2019-06-18,19,C,90,Link,78205,"830 st marys n san antonio, tx 782051326",830 st marys n ,"['830', 'st', 'marys', 'n']",830,hot indigo riverwalk,st marys n,st marys
6229,immaculate heart mary senior center,2019-06-18,27,C,98,Link,78207,"617 santa rosa s san antonio, tx 782073112",617 santa rosa s ,"['617', 'santa', 'rosa', 's']",617,immaculate heart mary senior center,santa rosa s,santa rosa
6230,j & r mahal grocery,2019-06-18,28,D,99,Link,78207,"1015 sabinas st n san antonio, tx 782071613",1015 sabinas st n ,"['1015', 'sabinas', 'st', 'n']",1015,j & r mahal grocery,sabinas st n,sabinas
6231,kumori sushi restaurant,2019-06-18,10,B,90,Link,78258,"700 east sonterra san antonio, tx 782580",700 east sonterra ,"['700', 'east', 'sonterra']",700,kumori sushi restaurant,east sonterra,eastonterra
6232,la fonda express,2019-06-18,36,D,98,Link,78264,"15415 applewhite rd san antonio, tx 782640",15415 applewhite rd ,"['15415', 'applewhite', 'rd']",15415,l fond express,applewhite rd,applewhite
6233,la quinta inn #589,2019-06-18,33,D,98,Link,78238,"7134 loop 410 nw san antonio, tx 782384116",7134 loop 410 nw ,"['7134', 'loop', '410', 'nw']",7134,l quint inn #589,loop 410 nw,loop 410w
6234,las salsas mexican restaurant,2019-06-18,35,D,91,Link,78212,"2018 san pedro av san antonio, tx 782123305",2018 san pedro av ,"['2018', 'san', 'pedro', 'av']",2018, salsas mexic restaurant,san pedro av,san pedro
6235,lisa's munchies,2019-06-18,23,C,98,Link,78214,"422 pleasanton rd san antonio, tx 782141139",422 pleasanton rd ,"['422', 'pleasanton', 'rd']",422,lisa's munchies,pleasanton rd,pleasanton
6236,long john silvers #31704,2019-06-18,28,D,95,Link,78237,"4350 commerce st w san antonio, tx 782371624",4350 commerce st w ,"['4350', 'commerce', 'st', 'w']",4350,long john silvers #31704,commerce st w,commerce
6237,los balito's taco shop,2019-06-18,14,B,94,Link,78259,"3111 tpc parkway san antonio, tx 782590",3111 tpc parkway ,"['3111', 'tpc', 'parkway']",3111, balito's taco shop,tpc parkway,tpc parkway
6238,lubys cafeteria #,2019-06-18,35,D,95,Link,78212,"911 main av n san antonio, tx 78212",911 main av n ,"['911', 'main', 'av', 'n']",911,lubys cafeteri #,main av n,main
6239,mariscos kora,2019-06-18,16,B,96,Link,78218,"2367 austin hwy san antonio, tx 782181982",2367 austin hwy ,"['2367', 'austin', 'hwy']",2367,mariscos kora,austin hwy,austin hwy
6240,mcdonalds,2019-06-18,31,D,97,Link,78238,"6069 ingram rd san antonio, tx 782384403",6069 ingram rd ,"['6069', 'ingram', 'rd']",6069,mcdonalds,ingram rd,ingram
6241,mr cool,2019-06-18,33,D,98,Link,78245,"1257 loop 410 sw san antonio, tx 782451636",1257 loop 410 sw ,"['1257', 'loop', '410', 'sw']",1257,mr cool,loop 410 sw,loop 410w
6242,mrs. kitchen,2019-06-18,20,C,89,Link,78203,"2242 commerce st e san antonio, tx 782031902",2242 commerce st e ,"['2242', 'commerce', 'st', 'e']",2242,mrs. kitchen,commerce st e,commerce
6243,papa johns pizza__#3521 #,2019-06-18,10,B,94,Link,78260,"20711 wilderness oak san antonio, tx 782600",20711 wilderness oak ,"['20711', 'wilderness', 'oak']",20711,pap johns pizza__#3521 #,wilderness oak,wilderness oak
6244,pharm table,2019-06-18,19,C,100,Link,78205,"411 martin st e san antonio, tx 782051318",411 martin st e ,"['411', 'martin', 'st', 'e']",411,pharm table,martin st e,martin
6245,pik & pack food mart,2019-06-18,8,A,96,Link,78201,"1801 west av san antonio, tx 782013553",1801 west av ,"['1801', 'west', 'av']",1801,pik & pack food mart,west av,west
6246,ramada limited,2019-06-18,33,D,98,Link,78238,"7043 culebra rd san antonio, tx 782380",7043 culebra rd ,"['7043', 'culebra', 'rd']",7043,ramad limited,culebra rd,culebra
6247,raspados extra,2019-06-18,15,B,100,Link,78217,"13523 nacogdoches rd san antonio, tx 782171275",13523 nacogdoches rd ,"['13523', 'nacogdoches', 'rd']",13523,raspados extra,nacogdoches rd,nacogdoches
6248,rio grande food mart,2019-06-18,20,C,99,Link,78202,"2758 houston st e san antonio, tx 782023215",2758 houston st e ,"['2758', 'houston', 'st', 'e']",2758,rio gran food mart,houston st e,houston
6249,shipley donuts,2019-06-18,3,A,100,Link,78249,"6362 de zavala rd san antonio, tx 78249",6362 de zavala rd ,"['6362', 'de', 'zavala', 'rd']",6362,shipley donuts,de zavala rd,de zavala
6250,steve's sno-cone house,2019-06-18,26,C,97,Link,78214,"2038 pleasanton rd san antonio, tx 782141307",2038 pleasanton rd ,"['2038', 'pleasanton', 'rd']",2038,steve's sno-cone house,pleasanton rd,pleasanton
6251,subway # 36978,2019-06-18,36,D,97,Link,78264,"15415 applewhite rd san antonio, tx 782640",15415 applewhite rd ,"['15415', 'applewhite', 'rd']",15415,subway # 36978,applewhite rd,applewhite
6252,subway # 41651,2019-06-18,14,B,98,Link,78259,"2606 tpc pkwy san antonio, tx 782590",2606 tpc pkwy ,"['2606', 'tpc', 'pkwy']",2606,subway # 41651,tpc pkwy,tpc pkwy
6253,subway # 43817,2019-06-18,26,C,95,Link,78221,"1503 pleasanton rd san antonio, tx 782211147",1503 pleasanton rd ,"['1503', 'pleasanton', 'rd']",1503,subway # 43817,pleasanton rd,pleasanton
6254,subway # 45621,2019-06-18,28,D,100,Link,78237,"4622 commerce st w san antonio, tx 782371630",4622 commerce st w ,"['4622', 'commerce', 'st', 'w']",4622,subway # 45621,commerce st w,commerce
6255,sukies taco house,2019-06-18,8,A,96,Link,78201,"1808 west av san antonio, tx 782013552",1808 west av ,"['1808', 'west', 'av']",1808,sukies taco house,west av,west
6256,tanks pizza,2019-06-18,20,C,90,Link,78202,"902 new brnfls n san antonio, tx 782021447",902 new brnfls n ,"['902', 'new', 'brnfls', 'n']",902,tanks pizza,new brnfls n,new brnfls
6257,taqueria jalisco #9,2019-06-18,9,A,100,Link,78216,"11791 west av san antonio, tx 782162559",11791 west av ,"['11791', 'west', 'av']",11791,taqueri jalisco #9,west av,west
6258,the district,2019-06-18,19,C,100,Link,78215,"2424 broadway san antonio, tx 78215",2424 broadway ,"['2424', 'broadway']",2424, district,broadway,broadway
6259,the heritage at westover hills,2019-06-18,5,A,100,Link,78251,"4315 rogers rd san antonio, tx 78251",4315 rogers rd ,"['4315', 'rogers', 'rd']",4315, heritage at westover hills,rogers rd,rogers
6260,the melting pot,2019-06-18,9,A,100,Link,78248,"14855 blanco rd san antonio, tx 782487732",14855 blanco rd ,"['14855', 'blanco', 'rd']",14855, melting pot,blanco rd,blanco
6261,tiagos cabo grill #tcg 1,2019-06-18,33,D,93,Link,78245,"8403 state hwy 151 san antonio, tx 782450",8403 state hwy 151 ,"['8403', 'state', 'hwy', '151']",8403,tiagos cabo grill #tcg 1,state hwy 151,state hwy 151
6262,viva villa,2019-06-18,27,C,90,Link,78207,"905 dolorosa san antonio, tx 782074541",905 dolorosa ,"['905', 'dolorosa']",905,viv villa,dolorosa,dolorosa
6263,wendys # 5101,2019-06-18,34,D,100,Link,78237,"4445 commerce st w san antonio, tx 782371627",4445 commerce st w ,"['4445', 'commerce', 'st', 'w']",4445,wendys # 5101,commerce st w,commerce
6264,what's your flavor?,2019-06-18,1,A,82,Link,78229,"4961 loop 410 nw san antonio, tx 782295346",4961 loop 410 nw ,"['4961', 'loop', '410', 'nw']",4961,what's your flavor?,loop 410 nw,loop 410w
6265,whataburger #782,2019-06-18,26,C,98,Link,78214,"503 military dr sw san antonio, tx 782140",503 military dr sw ,"['503', 'military', 'dr', 'sw']",503,whataburger #782,military dr sw,militaryw
6266,beirut falafel & shawrma inc,2019-06-19,7,A,94,Link,78229,"4085 medical dr san antonio, tx 782292155",4085 medical dr ,"['4085', 'medical', 'dr']",4085,beirut falaf & shawrm inc,medical dr,medical
6267,best western plus,2019-06-19,21,C,95,Link,78210,"333 roland ave san antonio, tx 78210",333 roland ave ,"['333', 'roland', 'ave']",333,best western plus,roland ave,rolande
6268,bill miller bbq #51,2019-06-19,19,C,99,Link,78205,"501 st marys n san antonio, tx 782051705",501 st marys n ,"['501', 'st', 'marys', 'n']",501,bill miller bbq #51,st marys n,st marys
6269,churchs chicken # 1258,2019-06-19,17,B,99,Link,78218,"4747 rittiman rd san antonio, tx 782184631",4747 rittiman rd ,"['4747', 'rittiman', 'rd']",4747,churchs chicken # 1258,rittiman rd,rittiman
6270,corner food mart,2019-06-19,8,A,95,Link,78213,"5303 blanco rd san antonio, tx 782137025",5303 blanco rd ,"['5303', 'blanco', 'rd']",5303,corner food mart,blanco rd,blanco
6271,corner mart,2019-06-19,8,A,95,Link,78212,"4211 blanco rd san antonio, tx 78212",4211 blanco rd ,"['4211', 'blanco', 'rd']",4211,corner mart,blanco rd,blanco
6272,courtyard marriott,2019-06-19,27,C,94,Link,78204,"600 santa rosa s san antonio, tx 782040",600 santa rosa s ,"['600', 'santa', 'rosa', 's']",600,courtyard marriott,santa rosa s,santa rosa
6273,delicias bakery,2019-06-19,31,D,97,Link,78228,"3907 culebra rd san antonio, tx 782285822",3907 culebra rd ,"['3907', 'culebra', 'rd']",3907,delicias bakery,culebra rd,culebra
6274,doris griffin senior center,2019-06-19,31,D,100,Link,78238,"6157 loop 410 nw san antonio, tx 78238",6157 loop 410 nw ,"['6157', 'loop', '410', 'nw']",6157,doris griff senior center,loop 410 nw,loop 410w
6275,dulce victoria desserts,2019-06-19,34,D,97,Link,78201,"150 babcock rd san antonio, tx 78201",150 babcock rd ,"['150', 'babcock', 'rd']",150,dulce victori desserts,babcock rd,babcock
6276,dunkin dounts,2019-06-19,15,B,96,Link,78217,"12311 nacogdoches rd san antonio, tx 782172138",12311 nacogdoches rd ,"['12311', 'nacogdoches', 'rd']",12311,dunk dounts,nacogdoches rd,nacogdoches
6277,e & grocery store,2019-06-19,28,D,98,Link,78207,"2825 chihuahua st san antonio, tx 782076419",2825 chihuahua st ,"['2825', 'chihuahua', 'st']",2825,e & grocery store,chihuahua st,chihuahua
6278,el nogal,2019-06-19,19,C,96,Link,78215,"1605 st marys n san antonio, tx 782151415",1605 st marys n ,"['1605', 'st', 'marys', 'n']",1605, nogal,st marys n,st marys
6279,embassy suites-riverwalk-kitchen 1,2019-06-19,19,C,98,Link,78205,"125 houston st e san antonio, tx 782052247",125 houston st e ,"['125', 'houston', 'st', 'e']",125,embassy suites-riverwalk-kitchen 1,houston st e,houston
6280,first watch restaurants #332,2019-06-19,33,D,97,Link,78245,"8603 state hwy 151 san antonio, tx 78245",8603 state hwy 151 ,"['8603', 'state', 'hwy', '151']",8603,first watch restaurants #332,state hwy 151,state hwy 151
6281,geneses restaurante,2019-06-19,28,D,92,Link,78207,"1823 buena vista st san antonio, tx 782073806",1823 buena vista st ,"['1823', 'buena', 'vista', 'st']",1823,geneses restaurante,buena vista st,buena vista
6282,heb e-commerce fullfillment center #761,2019-06-19,30,D,100,Link,78251,"10718 potranco rd san antonio, tx 78251",10718 potranco rd ,"['10718', 'potranco', 'rd']",10718,heb e-commerce fullfillment center #761,potranco rd,potranco
6283,heb sa #41 (085) #,2019-06-19,30,D,98,Link,78251,"10718 potranco rd san antonio, tx 78251",10718 potranco rd ,"['10718', 'potranco', 'rd']",10718,heb s #41 (085) #,potranco rd,potranco
6284,hisd child nutrition warehouse,2019-06-19,36,D,99,Link,78221,"632 vestal pl w san antonio, tx 782212341",632 vestal pl w ,"['632', 'vestal', 'pl', 'w']",632,hisd child nutriti warehouse,vestal pl w,vestal pl
6285,ihop #,2019-06-19,14,B,97,Link,78266,"6831 n fm 1604 e san antonio, tx 782660",6831 n fm 1604 e ,"['6831', 'n', 'fm', '1604', 'e']",6831,ihop #,n fm 1604 e,n fm 1604
6286,jany corner store,2019-06-19,31,D,100,Link,78228,"1871 bandera rd san antonio, tx 782283802",1871 bandera rd ,"['1871', 'bandera', 'rd']",1871,jany corner store,bandera rd,bandera
6287,judys,2019-06-19,27,C,97,Link,78205,"108 soledad st san antonio, tx 782052207",108 soledad st ,"['108', 'soledad', 'st']",108,judys,soledad st,soledad
6288,mama's kitchen,2019-06-19,35,D,97,Link,78212,"504 hildebrand w san antonio, tx 782122120",504 hildebrand w ,"['504', 'hildebrand', 'w']",504,mama's kitchen,hildebrand w,hildebrand
6289,marys snack bar & cafe,2019-06-19,29,D,100,Link,78211,"2709 southcross w san antonio, tx 782111852",2709 southcross w ,"['2709', 'southcross', 'w']",2709,marys snack bar & cafe,southcross w,southcross
6290,mc donald's # 31788,2019-06-19,30,D,100,Link,78245,"11038 potranco rd san antonio, tx 782450",11038 potranco rd ,"['11038', 'potranco', 'rd']",11038,mc donald's # 31788,potranco rd,potranco
6291,mcdonalds #25520,2019-06-19,15,B,96,Link,78232,"12203 jones maltsbrg san antonio, tx 782320",12203 jones maltsbrg ,"['12203', 'jones', 'maltsbrg']",12203,mcdonalds #25520,jones maltsbrg,jones maltsbrg
6292,ming garden express,2019-06-19,32,D,84,Link,78227,"7121 new hwy 90 w san antonio, tx 782270",7121 new hwy 90 w ,"['7121', 'new', 'hwy', '90', 'w']",7121,ming garden express,new hwy 90 w,new hwy 90
6293,mustafa asian & middle eastern grocery,2019-06-19,7,A,93,Link,78229,"4081 medical dr san antonio, tx 782292155",4081 medical dr ,"['4081', 'medical', 'dr']",4081,mustaf asi & middle eastern grocery,medical dr,medical
6294,page barteau street level cafe,2019-06-19,19,C,98,Link,78205,"700 st marys n san antonio, tx 782053501",700 st marys n ,"['700', 'st', 'marys', 'n']",700,page barteau street lev cafe,st marys n,st marys
6295,papa johns pizza #1236 #,2019-06-19,15,B,100,Link,78233,"12642 nacogdoches rd san antonio, tx 782332118",12642 nacogdoches rd ,"['12642', 'nacogdoches', 'rd']",12642,pap johns pizz #1236 #,nacogdoches rd,nacogdoches
6296,pizza hut #,2019-06-19,34,D,94,Link,78228,"627 bandera rd san antonio, tx 782285204",627 bandera rd ,"['627', 'bandera', 'rd']",627,pizz hut #,bandera rd,bandera
6297,pizza hut #25,2019-06-19,15,B,99,Link,78217,"4232 thousand oaks san antonio, tx 782170",4232 thousand oaks ,"['4232', 'thousand', 'oaks']",4232,pizz hut #25,thousand oaks,thousand oaks
6298,red roof plus & suites,2019-06-19,4,A,99,Link,78249,"13279 ih 10 w san antonio, tx 782490",13279 ih 10 w ,"['13279', 'ih', '10', 'w']",13279,red ro plus & suites,ih 10 w,ih 10
6299,residence inn marriott,2019-06-19,27,C,97,Link,78207,"628 santa rosa s san antonio, tx 782070",628 santa rosa s ,"['628', 'santa', 'rosa', 's']",628,residence inn marriott,santa rosa s,santa rosa
6300,respite care san antonio #,2019-06-19,35,D,100,Link,78212,"605 belknap st san antonio, tx 782123413",605 belknap st ,"['605', 'belknap', 'st']",605,respite care s antonio #,belknap st,belknap
6301,smoothie king #1142,2019-06-19,14,B,96,Link,78259,"17910 bulverde rd san antonio, tx 782590",17910 bulverde rd ,"['17910', 'bulverde', 'rd']",17910,smoothie king #1142,bulverde rd,bulverde
6302,sonic #5214,2019-06-19,23,C,92,Link,78225,"4623 ih 35 s san antonio, tx 782252437",4623 ih 35 s ,"['4623', 'ih', '35', 's']",4623,sonic #5214,ih 35 s,ih 35
6303,star stop 84,2019-06-19,17,B,84,Link,78233,"11055 ih 35 n san antonio, tx 782335791",11055 ih 35 n ,"['11055', 'ih', '35', 'n']",11055,star stop 84,ih 35 n,ih 35
6304,starbucks coffee_#10470,2019-06-19,33,D,98,Link,78245,"8227 state hwy 151 san antonio, tx 782450",8227 state hwy 151 ,"['8227', 'state', 'hwy', '151']",8227,starbucks coffee_#10470,state hwy 151,state hwy 151
6305,sterling adult day care,2019-06-19,15,B,98,Link,78217,"4252 thousand oaks san antonio, tx 782170",4252 thousand oaks ,"['4252', 'thousand', 'oaks']",4252,sterling adult day care,thousand oaks,thousand oaks
6306,subway # 49146,2019-06-19,27,C,99,Link,78205,"111 soledad st san antonio, tx 782050",111 soledad st ,"['111', 'soledad', 'st']",111,subway # 49146,soledad st,soledad
6307,taco bell #31131,2019-06-19,3,A,99,Link,78249,"7323 n 1604 w san antonio, tx 782490",7323 n 1604 w ,"['7323', 'n', '1604', 'w']",7323,taco bell #31131,n 1604 w,n 1604
6308,taco cabana #280 #,2019-06-19,14,B,97,Link,78247,"6826 n fm 1604 e san antonio, tx 782470",6826 n fm 1604 e ,"['6826', 'n', 'fm', '1604', 'e']",6826,taco caban #280 #,n fm 1604 e,n fm 1604
6309,the original donut shop & tacos,2019-06-19,34,D,100,Link,78201,"3307 fredsbg rd san antonio, tx 782010",3307 fredsbg rd ,"['3307', 'fredsbg', 'rd']",3307, original donut shop & tacos,fredsbg rd,fredsbg
6310,tokyo gardens catering llc #,2019-06-19,30,D,100,Link,78251,"10718 potranco rd san antonio, tx 78251",10718 potranco rd ,"['10718', 'potranco', 'rd']",10718,tokyo gardens catering llc #,potranco rd,potranco
6311,university hospital,2019-06-19,7,A,100,Link,78229,"4502 medical dr san antonio, tx 782294402",4502 medical dr ,"['4502', 'medical', 'dr']",4502,university hospital,medical dr,medical
6312,whataburger #315,2019-06-19,31,D,97,Link,78238,"3202 wurzbach rd san antonio, tx 782384001",3202 wurzbach rd ,"['3202', 'wurzbach', 'rd']",3202,whataburger #315,wurzbach rd,wurzbach
6313,willie's grill and icehouse,2019-06-19,30,D,90,Link,78245,"8739 state hwy 151 san antonio, tx 782450",8739 state hwy 151 ,"['8739', 'state', 'hwy', '151']",8739,willie's grill and icehouse,state hwy 151,state hwy 151
6314,7-eleven #36277,2019-06-20,16,B,93,Link,78209,"1202 loop 410 ne san antonio, tx 782091511",1202 loop 410 ne ,"['1202', 'loop', '410', 'ne']",1202,7-eleven #36277,loop 410 ne,loop 410e
6315,7-eleven store,2019-06-20,26,C,95,Link,78224,"3155 military dr sw san antonio, tx 782240",3155 military dr sw ,"['3155', 'military', 'dr', 'sw']",3155,7-eleven store,military dr sw,militaryw
6316,american food & vending services missouri @ zachary,2019-06-20,36,D,96,Link,78221,"527 logwood av san antonio, tx 782211738",527 logwood av ,"['527', 'logwood', 'av']",527,americ food & vending services missouri @ zachary,logwood av,logwood
6317,baskin robbins cpi,2019-06-20,9,A,100,Link,78230,"10003 nw military hy san antonio, tx 782300",10003 nw military hy ,"['10003', 'nw', 'military', 'hy']",10003,bask robbins cpi,nw military hy,nw military hy
6318,big lou's pizza,2019-06-20,21,C,99,Link,78222,"2048 w w white rd s san antonio, tx 782221120",2048 w w white rd s ,"['2048', 'w', 'w', 'white', 'rd', 's']",2048,big lou's pizza,w w white rd s,white
6319,bill miller bar b q # 74,2019-06-20,21,C,94,Link,78244,"6330 fm 78 san antonio, tx 782440",6330 fm 78 ,"['6330', 'fm', '78']",6330,bill miller bar b q # 74,fm 78,fm 78
6320,bubba's 33,2019-06-20,33,D,100,Link,78238,"7518 loop 410 nw san antonio, tx 782380",7518 loop 410 nw ,"['7518', 'loop', '410', 'nw']",7518,bubba's 33,loop 410 nw,loop 410w
6321,bustos youth center,2019-06-20,28,D,100,Link,78237,"1613 castroville rd san antonio, tx 782373655",1613 castroville rd ,"['1613', 'castroville', 'rd']",1613,bustos youth center,castroville rd,castroville
6322,canyon cafe,2019-06-20,11,B,90,Link,78209,"255 basse e san antonio, tx 782090",255 basse e ,"['255', 'basse', 'e']",255,cany cafe,basse e,basse
6323,catering rosemary #,2019-06-20,20,C,97,Link,78203,"1220 commerce st e san antonio, tx 782033308",1220 commerce st e ,"['1220', 'commerce', 'st', 'e']",1220,catering rosemary #,commerce st e,commerce
6324,circle k #2742301,2019-06-20,21,C,99,Link,78219,"4698 seguin rd san antonio, tx 782191705",4698 seguin rd ,"['4698', 'seguin', 'rd']",4698,circle k #2742301,seguin rd,seguin
6325,congas restaurant,2019-06-20,15,B,97,Link,78217,"11211 perrin beitel san antonio, tx 78217",11211 perrin beitel ,"['11211', 'perrin', 'beitel']",11211,congas restaurant,perrin beitel,perrin beitel
6326,courtyard marriott,2019-06-20,33,D,100,Link,78238,"6738 loop 410 nw san antonio, tx 782380",6738 loop 410 nw ,"['6738', 'loop', '410', 'nw']",6738,courtyard marriott,loop 410 nw,loop 410w
6327,econo-lodge inn & suites,2019-06-20,20,C,98,Link,78208,"2755 ih 35 n san antonio, tx 782080",2755 ih 35 n ,"['2755', 'ih', '35', 'n']",2755,econo-lodge inn & suites,ih 35 n,ih 35
6328,el burrito wey estilo jalisco,2019-06-20,15,B,84,Link,78233,"11470 perrin beitel san antonio, tx 782332536",11470 perrin beitel ,"['11470', 'perrin', 'beitel']",11470, burrito wey estilo jalisco,perrin beitel,perrin beitel
6329,el campesino d'alamo,2019-06-20,15,B,100,Link,78233,"10606 perrin beitel san antonio, tx 782333118",10606 perrin beitel ,"['10606', 'perrin', 'beitel']",10606, campesino d'alamo,perrin beitel,perrin beitel
6330,el taco rodeo de jalisco,2019-06-20,30,D,95,Link,78251,"8802 potranco rd san antonio, tx 782510",8802 potranco rd ,"['8802', 'potranco', 'rd']",8802, taco rodeo  jalisco,potranco rd,potranco
6331,fast eddies neighborhood billiards & saloon,2019-06-20,15,B,96,Link,78217,"11221 perrin beitel san antonio, tx 782172515",11221 perrin beitel ,"['11221', 'perrin', 'beitel']",11221,fast eddies neighborhood billiards & saloon,perrin beitel,perrin beitel
6332,four ten diner,2019-06-20,16,B,94,Link,78209,"8315 broadway san antonio, tx 782092077",8315 broadway ,"['8315', 'broadway']",8315,four ten diner,broadway,broadway
6333,great northwest community improvment association,2019-06-20,5,A,100,Link,78250,"8809 timberwilde san antonio, tx 782504331",8809 timberwilde ,"['8809', 'timberwilde']",8809,great northwest community improvment association,timberwilde,timberwilde
6334,heb grocery store # 1 store manager,2019-06-20,16,B,99,Link,78209,"1955 nacogdoches rd san antonio, tx 782092217",1955 nacogdoches rd ,"['1955', 'nacogdoches', 'rd']",1955,heb grocery store # 1 store manager,nacogdoches rd,nacogdoches
6335,hilton garden inn,2019-06-20,13,B,95,Link,78216,"12828 us 281 n san antonio, tx 782160",12828 us 281 n ,"['12828', 'us', '281', 'n']",12828,hilt garden inn,us 281 n,us 281
6336,holiday inn express,2019-06-20,33,D,100,Link,78238,"2861 cinema ridge san antonio, tx 782380",2861 cinema ridge ,"['2861', 'cinema', 'ridge']",2861,holiday inn express,cinema ridge,cinema ridge
6337,homewood suites,2019-06-20,33,D,100,Link,78245,"215 richland hills san antonio, tx 782450",215 richland hills ,"['215', 'richland', 'hills']",215,homewood suites,richland hills,richland hills
6338,india oven,2019-06-20,9,A,100,Link,78213,"1031 patricia drive suite#105 san antonio, tx 782131351",1031 patricia drive suite#105 ,"['1031', 'patricia', 'drive', 'suite#105']",1031,indi oven,patricia drive suite#105,patriciaiveuite#105
6339,j & j food market,2019-06-20,23,C,91,Link,78211,"806 commercial av san antonio, tx 782111746",806 commercial av ,"['806', 'commercial', 'av']",806,j & j food market,commercial av,commercial
6340,jimmy's family pizza,2019-06-20,23,C,100,Link,78204,"226 fest st e san antonio, tx 782041909",226 fest st e ,"['226', 'fest', 'st', 'e']",226,jimmy's family pizza,fest st e,fest
6341,jims coffee shop #,2019-06-20,16,B,94,Link,78209,"8427 broadway san antonio, tx 782091101",8427 broadway ,"['8427', 'broadway']",8427,jims coffee shop #,broadway,broadway
6342,jims restaurant #39 #,2019-06-20,12,B,92,Link,78248,"18155 blanco rd san antonio, tx 782480",18155 blanco rd ,"['18155', 'blanco', 'rd']",18155,jims restaurant #39 #,blanco rd,blanco
6343,k and c snow cones,2019-06-20,32,D,99,Link,78211,"509 palo alto rd san antonio, tx 782113825",509 palo alto rd ,"['509', 'palo', 'alto', 'rd']",509,k and c snow cones,palo alto rd,palo alto
6344,kfc e003020,2019-06-20,30,D,97,Link,78227,"8270 marbach rd san antonio, tx 782271601",8270 marbach rd ,"['8270', 'marbach', 'rd']",8270,kfc e003020,marbach rd,marbach
6345,kfc/taco bell e003008,2019-06-20,4,A,95,Link,78249,"5211 de zavala rd san antonio, tx 782490",5211 de zavala rd ,"['5211', 'de', 'zavala', 'rd']",5211,kfc/taco bell e003008,de zavala rd,de zavala
6346,la heradura mexican restaurant #2,2019-06-20,8,A,90,Link,78213,"2527 vance jackson san antonio, tx 782134014",2527 vance jackson ,"['2527', 'vance', 'jackson']",2527,l heradur mexic restaurant #2,vance jackson,vance jackson
6347,la perla bar & grill,2019-06-20,25,C,91,Link,78221,"516 military dr sw san antonio, tx 782211635",516 military dr sw ,"['516', 'military', 'dr', 'sw']",516,l perl bar & grill,military dr sw,militaryw
6348,la takiza,2019-06-20,5,A,100,Link,78250,"10151 culebra rd san antonio, tx 782500",10151 culebra rd ,"['10151', 'culebra', 'rd']",10151,l takiza,culebra rd,culebra
6349,landas concessions,2019-06-20,26,C,89,Link,78214,"1131 military dr se san antonio, tx 782140",1131 military dr se ,"['1131', 'military', 'dr', 'se']",1131,landas concessions,military dr se,militarye
6350,las carnitas mexican restaurant,2019-06-20,29,D,94,Link,78237,"629 enrique m barrera pkwy san antonio, tx 78237",629 enrique m barrera pkwy ,"['629', 'enrique', 'm', 'barrera', 'pkwy']",629, carnitas mexic restaurant,enrique m barrera pkwy,enrique m barrera pkwy
6351,las colinas westover rehab center,2019-06-20,5,A,100,Link,78251,"9738 westover hills san antonio, tx 782510",9738 westover hills ,"['9738', 'westover', 'hills']",9738, colinas westover rehab center,westover hills,westover hills
6352,las islas marias,2019-06-20,25,C,95,Link,78221,"522 military dr sw san antonio, tx 782211635",522 military dr sw ,"['522', 'military', 'dr', 'sw']",522, is marias,military dr sw,militaryw
