,DISTRICT,ESTABLISHMENT ADDRESS,ESTABLISHMENT NAME,INSPECTION DATE,LINK,SECTOR,TOTAL SCORE
29,C,"628 SANTA ROSA S San Antonio, TX 782070",RESIDENCE INN BY MARRIOTT,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412785&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,93
30,A,"3600 WISEMAN BV San Antonio, TX 782510",SA CATERING COMPANY,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412786&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,5,97
31,C,"111 SOLEDAD ST San Antonio, TX 782050",SUBWAY # 49146,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412816&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,100
32,A,"11707 W FM 1604 N San Antonio, TX 782540",TACO CABANA #264,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412787&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,100
33,A,"1 DOMINION DR San Antonio, TX 782571247",THE DOMINION COUNTRY CLUB,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412832&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,4,94
34,C,"1614 ST MARYS N San Antonio, TX 782151414",THE INN DOWNTOWN/MUSEUM REACH,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412896&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,19,94
35,B,"825 HILDEBRAND W San Antonio, TX 782122127",TOKYO MART,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412856&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,18,100
36,A,"17627 LA CANTERA PKW San Antonio, TX 78257",TORCHY'S TACOS,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412872&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,4,94
37,D,"333 SAN PEDRO AV San Antonio, TX 782125552",VALERO CORNER STORE #1011 #,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412891&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,35,96
38,A,"11652 BANDERA RD San Antonio, TX 78250",WENDYS # 11759,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412860&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,98
39,B,"5410 WALZEM RD San Antonio, TX 782182125",WINGSTOP RESTAURANT #23,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412888&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,17,97
40,C,"103 9TH ST San Antonio, TX 782151525",WYNDHAM GARDEN RIVERWALK,2019-01-02,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412846&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,19,97
41,D,"1822 ZARZAMORA ST N San Antonio, TX 782016145",20-TWENTY FOOD AND FUEL,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413032&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,98
42,D,"1512 BANDERA RD San Antonio, TX 782284005",A GALA EVENT & CATERING,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412982&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,99
43,C,"2030 ALAMO ST S San Antonio, TX 782073201",APRIL CHINESE RESTAURANT,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413008&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,86
